id,name,ingredients,expire_date,product_id,sub_cat_id,ingredients_en,ingredients_kr,ingredients_ru,ingredients_uz,name_en,name_kr,name_ru,name_uz
744,QURITILGAN ANJIR 1KG,"",2026-10-15,758,33,,,,,QURITILGAN ANJIR 1KG,QURITILGAN ANJIR 1KG,SHOHONA GOVYAJYI TUSHONKA,SHOHONA MOL TUSHONKASI
745,SHOHONA SPAGETTI,"",2027-01-01,759,33,,,,,SHOHONA SPAGETTI,SHOHONA SPAGETTI,SHOHONA SPAGETTI,SHOHONA SPAGETTI
746,SHOHONA DIMLAMA,"",2026-09-09,760,33,,,,,SHOHONA DIMLAMA,SHOHONA DIMLAMA,SHOHONA DIMLAMA,SHOHONA DIMLAMA
747,SHOHONA QO'Y TUSHONKASI,"",2026-08-07,761,33,,,,,SHOHONA QO'Y TUSHONKASI,SHOHONA QO'Y TUSHONKASI,SHOHONA BARANINA  TUSHONKASI,SHOHONA QO'Y TUSHONKASI
555,LAYS ZELYONIY I LUK,"",2026-03-05,568,30,,,,,LAYS ZELYONIY I LUK,LAYS ZELYONIY I LUK,LAYS ZELYONIY I LUK,LAYS ZELYONIY I LUK
6,Chicked legs,"",2028-05-05,12,6,,,,,Chicked legs,닭장각,Куриные ножки,Tovuq oyoqchalari
1,Lamb front leg,"",2028-08-02,1,1,,,,,Lamb front leg,양앞다리,Баранья передняя нога,Qo'y oldi son
10,Moxito,"",2028-02-12,16,7,,,,,Moxito,모히또,Мохито,Moxito qulpnay
9,Samarkhand bread,"",2028-02-02,15,8,,,,,Samarkhand bread,사마르칸트 빵,Самаркандский хлеб,Samarqand non
461,POTATO,"",2026-02-26,474,13,,,,,POTATO,0,KARTOSHKA,KARTOSHKA
37,pistachios,"",2026-01-01,43,14,,,,,pistachios,피스타치오,фисташки,pista
4,Mars chocolate 2x,"",2028-02-02,10,3,,,,,Mars chocolate 2x,Mars ( 말스) 초콜릿 2x,Mars шокалад 2x,Mars shokalad 2x
439,Bone fracture,"",2026-07-17,452,2,,,,,Bone fracture,소뼈사태,PERELOM KOSTI 4KG,MOL MUSHAK 4KG
29,Beef hind leg,"",2028-01-01,35,2,,,,,Beef hind leg,소뒷다리,задняя нога коровы,Mol orqa son
32,Pickles,"",2028-01-01,38,13,,,,,Pickles,절인 것,Солёные огурцы,Tuzlangan bodring
2,Lamb minced,"",2028-01-26,3,1,,,,,Lamb minced,다진 고기,Фарш Баранина,Qo'y Qiyma
19,Royal food Klassicheskaya  1kg,"",2028-02-20,25,22,,,,,Royal food Klassicheskaya  1kg,Royal food Klassicheskaya 1 kg,Royal food Klassicheskaya 1kg,Royal food Klassicheskaya 1kg
13,DENA CHERRY,"",2028-05-20,19,7,,,,,DENA CHERRY,DENA 데나  체리,ДЕН ВИШНЯ,DENA GILOSLI
460,CARROT,"",2026-01-27,473,13,,,,,CARROT,탄근,MORKOV,SABZI
462,ONION,"",2026-03-11,475,13,,,,,ONION,양빠,LUK,PIYOZ
