id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
187,2024-03-23 14:56:58.395303+00,2026-01-28 10:51:32.445221+00,"",0,1000,0,t,3900,7900,"","","","",1,d0a66514-1d57-413a-a983-116f2ccacccf,t
159,2024-03-18 15:52:49.783924+00,2026-01-28 08:56:33.978775+00,"",1,1000,0,t,4900,5200,"","","",830 GRAM,1,0fa8bcdb-2959-4ef7-b588-700c83770690,t
146,2024-03-16 16:58:45.419104+00,2026-01-28 08:32:13.282717+00,"",1,91,0,t,2900,2900,"","","","",0.2,d7a9af09-bfab-434c-82d9-7caa762c3c72,t
13,2024-02-05 16:03:11.854475+00,2026-01-30 11:37:31.145264+00,"",0,9924,0,t,14000,14500,"","","","",1,14d33599-4f22-412d-8be3-c795cf869750,t
147,2024-03-16 16:59:48.258014+00,2026-01-28 08:33:28.237667+00,"",1,1000,0,t,2900,3200,"","","","",0.2,090eb283-77bc-4428-95f5-8df45df5cb91,t
547,2025-09-08 07:59:15.644718+00,2025-09-08 07:59:15.644718+00,AMERICAN PRODUCT 950GE SALTED,1,30,0,t,18000,18000,AMERICAN PRODUCT 950GE SALTED,"","",AMERICA MAHSULOTI. 950GR TUZLANGAN,0.9,09fa8080-7faa-4a19-be7e-dd64e0a95226,t
158,2024-03-18 15:35:14.023065+00,2026-01-28 09:07:26.459766+00,"",1,100,0,t,2600,2900,"","","","",0.3,f6197f1f-40c0-48c4-8b3e-762400f483cf,t
197,2024-04-02 15:50:19.940684+00,2026-01-28 11:49:14.848622+00,"",0,1000,0,t,13800,14800,"","","",Mol parrak go'shti sizning vaxtingizni tejaydi va shuningdek ovqat qilish gashtini ham beradi. Do'stlar bilan yig'ilganda ajoyib vaxti chog'lik  va yaxshi kayfiyatni ulashadi.,1,5d35a5f5-bbca-496a-b005-ecd9c193f709,t
667,2025-10-12 02:22:06.614186+00,2025-10-12 02:22:06.614186+00,"",1,500,0,t,3000,3200,"","","","",1,3bbeaf48-b194-4f64-8d0c-89d8ddd27880,t
160,2024-03-18 15:58:28.0366+00,2026-01-28 09:08:30.588717+00,"",1,1000,0,t,4900,5200,"","","",425 gram,1,e04a3a73-511a-4a2e-a784-0662fe05ae6a,t
