id,created,modified,amount,quantity,product_id,user_id
4,2024-03-09 08:33:21.445363+00,2024-03-09 08:33:21.445363+00,13500,1,14,6
5,2024-03-09 08:33:21.455709+00,2024-03-09 08:33:21.455709+00,22000,2,3,6
7,2024-03-09 08:33:21.644844+00,2024-03-09 08:33:21.644844+00,45000,3,1,6
1,2024-02-10 11:15:59.798266+00,2024-03-14 08:39:13.026919+00,33000,3,3,
2,2024-02-10 11:15:59.89391+00,2024-02-10 11:15:59.89391+00,15000,1,1,
3,2024-02-19 22:50:33.044959+00,2024-03-14 08:39:12.745221+00,8400,2,12,
8,2024-04-18 05:27:58.871678+00,2024-04-18 05:27:58.871678+00,4200,1,12,3
1227,2024-10-18 11:27:11.606435+00,2024-10-18 11:27:11.606435+00,15000,3,228,1403
74,2024-06-12 11:25:09.524129+00,2024-10-21 11:26:46.014121+00,18000,3,198,484
61,2024-06-12 11:24:57.645277+00,2025-07-23 08:24:46.567894+00,15000,1,190,491
2763,2025-02-17 09:57:31.866206+00,2025-02-17 09:57:31.866206+00,37500,5,406,2154
6,2024-03-09 08:33:21.638721+00,2024-03-09 08:33:21.638721+00,88000,8,,6
58,2024-06-12 11:24:57.632193+00,2025-01-20 06:32:19.161583+00,37500,3,186,491
15,2024-05-22 09:24:14.956063+00,2024-05-22 09:24:14.956063+00,56000,8,,161
4654,2025-07-11 08:14:10.035043+00,2025-07-11 08:14:10.035043+00,25000,2,186,2296
9,2024-05-22 09:24:11.479161+00,2024-05-22 09:24:11.479161+00,12000,1,224,172
10,2024-05-22 09:24:11.483969+00,2024-05-22 09:24:11.483969+00,16000,1,20,172
11,2024-05-22 09:24:11.488198+00,2024-05-22 09:24:11.488198+00,12400,1,35,172
12,2024-05-22 09:24:11.49244+00,2024-05-22 09:24:11.49244+00,12800,1,36,172
13,2024-05-22 09:24:11.496725+00,2024-05-22 09:24:11.496725+00,27000,2,185,172
14,2024-05-22 09:24:11.501001+00,2024-05-22 09:24:11.501001+00,27800,2,34,172
4655,2025-07-11 08:14:10.042053+00,2025-07-11 08:14:10.042053+00,21000,2,189,2296
16,2024-05-22 09:24:17.812275+00,2024-05-22 09:24:17.812275+00,12500,1,186,157
4656,2025-07-11 08:14:13.358421+00,2025-07-11 08:14:13.358421+00,83300,7,232,2296
18,2024-05-22 09:24:17.823311+00,2024-05-22 09:24:17.823311+00,14500,1,207,157
4657,2025-07-11 08:14:13.365478+00,2025-07-11 08:14:13.365478+00,16000,2,14,2296
21,2024-05-27 12:03:14.084417+00,2024-05-27 12:03:14.084417+00,9000,1,13,298
22,2024-05-27 12:03:14.089258+00,2024-05-27 12:03:14.089258+00,37200,3,35,298
